mod_name,type,enabled
Nami_Aktiv,vehicle,True
Praga V3S 4,vehicle,True
RSK_mazurik_v.2,vehicle,True
Tatra_815_pack,vehicle,True
URAL-SUSHA (pack) v1.0,vehicle,True
Ural_5323,vehicle,True
A-69,vehicle,True
kamaz-63501-spintires,vehicle,True
Spintires-mercedes-benz-zetros-2733-a-v61,vehicle,True
T.B.T_OSHKOSH_MTVR_8X8,vehicle,True
the-uaz-3170-simbir-spintires,vehicle,True
level_february_roads_map_the_long_road_2.0v,map,True
